,Drugname,Price,Form,Category,ID
1593,ACHTENON 2MG 30TAB.,20,Syrup,Vitamin,1593
1624,ACHTENON 2MG 20 TAB.,31,Tablet,Antiviral,1624
1625,ACHTENON 2MG 20 TAB.,31,Tablet,Vitamin,1625
1626,ACHTENON 2MG 20 TAB.,31,Capsule,Antiviral,1626
1627,ACHTENON 2MG 20 TAB.,31,Injection,Antifungal,1627
1628,ACHTENON 2MG 20 TAB.,31,Injection,Antibiotic,1628
1629,ACHTENON 2MG 20 TAB.,31,Tablet,Antiviral,1629
1630,ACHTENON 2MG 20 TAB.,31,Ointment,Antiviral,1630
1631,ACHTENON 2MG 20 TAB.,31,Capsule,Vitamin,1631
1632,ACHTENON 2MG 20 TAB.,31,Capsule,Antifungal,1632
1704,ACHTENON 2 MG 30 TABS.,22,Capsule,Painkiller,1704
1705,ACHTENON 2 MG 30 TABS.,22,Capsule,Vitamin,1705
1822,ACHTENON 2MG 30 TAB.,46,Capsule,Painkiller,1822
1823,ACHTENON 2MG 30 TAB.,46,Injection,Antiviral,1823
1824,ACHTENON 2MG 30 TAB.,46,Syrup,Vitamin,1824
1825,ACHTENON 2MG 30 TAB.,46,Ointment,Antifungal,1825
1826,ACHTENON 2MG 30 TAB.,46,Injection,Painkiller,1826
1827,ACHTENON 2MG 30 TAB.,46,Ointment,Antifungal,1827
1828,ACHTENON 2MG 30 TAB.,46,Tablet,Painkiller,1828
1829,ACHTENON 2MG 30 TAB.,46,Ointment,Painkiller,1829
1830,ACHTENON 2MG 30 TAB.,46,Injection,Antiviral,1830
1831,ACHTENON 2MG 30 TAB.,46,Tablet,Antifungal,1831
1832,ACHTENON 2MG 30 TAB.,46,Syrup,Antibiotic,1832
2047,ACIVIRAX 800MG 20 TAB,58,Tablet,Antibiotic,2047
2048,ACIVIRAX 800MG 20 TAB,58,Syrup,Painkiller,2048
2049,ACIVIRAX 800MG 20 TAB,58,Ointment,Antibiotic,2049
2050,ACIVIRAX 800MG 20 TAB,58,Tablet,Antiviral,2050
2051,ACIVIRAX 800MG 20 TAB,58,Ointment,Antibiotic,2051
2052,ACIVIRAX 800MG 20 TAB,58,Ointment,Vitamin,2052
2083,ACLESS SOAP 100 GM,14,Ointment,Painkiller,2083
2084,ACLESS SOAP 100 GM,14,Ointment,Vitamin,2084
2139,ADANCOR 10MG 30 TAB,16,Injection,Painkiller,2139
2140,ADANCOR 10MG 30 TAB,16,Injection,Painkiller,2140
2141,ADANCOR 10MG 30 TAB,16,Ointment,Vitamin,2141
2142,ADANCOR 10MG 30TABS.,14,Ointment,Antiviral,2142
2155,ADAPALENE 0.1% GEL,123,Syrup,Vitamin,2155
2156,ADAPALENE 0.1% GEL,123,Tablet,Vitamin,2156
2157,ADAPALENE 0.1% GEL,123,Capsule,Painkiller,2157
2162,ADAPALENE 0.1% GEL 30GM,48,Tablet,Antibiotic,2162
2163,ADAPALENE 0.1% GEL 30GM,48,Tablet,Vitamin,2163
2164,ADAPALENE 0.1% GEL 30GM,48,Syrup,Vitamin,2164
2245,ADENOSIN FORTE 3 LYOPHILIZED AMP.,13,Capsule,Vitamin,2245
2246,ADENOSIN FORTE 3 LYOPHILIZED AMP.,13,Syrup,Antiviral,2246
2247,ADENOSIN FORTE 3 LYOPHILIZED AMP.,13,Injection,Antifungal,2247
2248,ADENOSIN FORTE 3 LYOPHILIZED AMP.,13,Capsule,Painkiller,2248
2249,ADENOSIN FORTE 3 LYOPHILIZED AMP.,13,Syrup,Vitamin,2249
2265,ADENOSIN FORTE 3 LYOPHILIZED I.M. AMP.,18,Syrup,Painkiller,2265
2404,ADOL 500MG 24 CAP,20,Ointment,Vitamin,2404
2405,ADOL 500MG 24 CAP,20,Injection,Antifungal,2405
2406,ADOL 500MG 24 CAP,20,Syrup,Antifungal,2406
2407,ADOL 500MG 24 CAP,20,Syrup,Antifungal,2407
2408,ADOL 500MG 24 CAP,20,Syrup,Vitamin,2408
2409,ADOL 500MG 24 CAP,20,Tablet,Antibiotic,2409
2410,ADOL 500MG 24 CAP,20,Syrup,Vitamin,2410
2411,ADOL 500MG 24 CAP,20,Tablet,Antibiotic,2411
2412,ADOL 500MG 24 CAP,20,Ointment,Antifungal,2412
2426,ADOL 500MG 24 CAPLETS,11,Syrup,Antifungal,2426
2427,ADOL 500MG 24 CAPLETS,11,Capsule,Vitamin,2427
2428,ADOL 500MG 24 CAPLETS,11,Syrup,Painkiller,2428
2429,ADOL 500MG 24 CAPLETS,11,Tablet,Painkiller,2429
2441,ADOL EXTRA 24 CAP,50,Capsule,Vitamin,2441
2442,ADOL EXTRA 24 CAP,50,Tablet,Vitamin,2442
2443,ADOL EXTRA 24 CAP,50,Capsule,Vitamin,2443
2444,ADOL EXTRA 24 CAP,50,Syrup,Antifungal,2444
2465,ADOL EXTRA 24 CAPLETS.,34,Syrup,Painkiller,2465
2466,ADOL EXTRA 24 CAPLETS.,34,Capsule,Antiviral,2466
2467,ADOL EXTRA 24 CAPLETS.,34,Syrup,Painkiller,2467
2468,ADOL EXTRA 24 CAPLETS.,34,Syrup,Antifungal,2468
2469,ADOL EXTRA 24 CAPLETS.,34,Ointment,Vitamin,2469
2470,ADOL EXTRA 24 CAPLETS.,34,Injection,Antiviral,2470
2517,ADOL SINUS 24 CAP,20,Tablet,Antiviral,2517
2518,ADOL SINUS 24 CAP,20,Tablet,Antibiotic,2518
2519,ADOL SINUS 24 CAP,20,Injection,Antibiotic,2519
2520,ADOL SINUS 24 CAP,20,Syrup,Antiviral,2520
2532,ADOLOR 10 MG 20 F.C.TAB.,56,Ointment,Vitamin,2532
2533,ADOLOR 10 MG 20 F.C.TAB.,56,Capsule,Antibiotic,2533
2534,ADOLOR 10 MG 20 F.C.TAB.,56,Injection,Antiviral,2534
2535,ADOLOR 10 MG 20 F.C.TAB.,56,Tablet,Vitamin,2535
2548,ADOLOR 10 MG 20 TAB.,70,Tablet,Antibiotic,2548
2549,ADOLOR 10 MG 20 TAB.,70,Capsule,Antibiotic,2549
2550,ADOLOR 10 MG 20 TAB.,70,Injection,Antiviral,2550
2564,ADOLOR 15MG 3 AMP.,44,Injection,Antibiotic,2564
2565,ADOLOR 15MG 3 AMP.,44,Injection,Painkiller,2565
2566,ADOLOR 15MG 3 AMP.,44,Capsule,Antiviral,2566
2567,ADOLOR 15MG 3 AMP.,44,Tablet,Antiviral,2567
2568,ADOLOR 15MG 3 AMP.,44,Injection,Painkiller,2568
2569,ADOLOR 15MG 3 AMP.,44,Tablet,Vitamin,2569
2570,ADOLOR 15MG 3 AMP.,44,Injection,Antibiotic,2570
2571,ADOLOR 15MG 3 AMP.,44,Tablet,Painkiller,2571
2572,ADOLOR 15MG 3 AMP.,44,Injection,Antifungal,2572
2582,ADOLOR 15MG 3 AMP.,14,Syrup,Antiviral,2582
2583,ADOLOR 15MG 3 AMP.,14,Syrup,Antiviral,2583
2584,ADOLOR 15MG 3 AMP.,14,Capsule,Antibiotic,2584
2585,ADOLOR 15MG 3 AMP.,14,Syrup,Antiviral,2585
2586,ADOLOR 15MG 3 AMP.,14,Capsule,Painkiller,2586
2587,ADOLOR 15MG 3 AMP.,14,Capsule,Vitamin,2587
2588,ADOLOR 15MG 3 AMP.,14,Ointment,Antibiotic,2588
2589,ADOLOR 15MG 3 AMP.,14,Syrup,Antibiotic,2589
2590,ADOLOR 15MG 3 AMP.,14,Capsule,Painkiller,2590
2655,ADOLOR 30MG 3 AMP,108,Ointment,Antiviral,2655
2656,ADOLOR 30MG 3 AMP,108,Ointment,Vitamin,2656
2657,ADOLOR 30MG 3 AMP,108,Capsule,Antiviral,2657
2658,ADOLOR 30MG 3 AMP,108,Ointment,Antiviral,2658
2659,ADOLOR 30MG 3 AMP,108,Syrup,Antiviral,2659
2660,ADOLOR 30MG 3 AMP,108,Capsule,Antiviral,2660
2914,ADRENOCORTINE 1MG/ML I.M. AMP.,73,Capsule,Vitamin,2914
2915,ADRENOCORTINE 1MG/ML I.M. AMP.,73,Capsule,Antifungal,2915
2916,ADRENOCORTINE 1MG/ML I.M. AMP.,73,Ointment,Antibiotic,2916
2928,ADRENOCORTINE AMP,11,Ointment,Antiviral,2928
2929,ADRENOCORTINE AMP,11,Tablet,Antibiotic,2929
2930,ADRENOCORTINE AMP,11,Capsule,Vitamin,2930
2931,ADRENOCORTINE AMP,11,Tablet,Antifungal,2931
2932,ADRENOCORTINE AMP,11,Syrup,Painkiller,2932
2933,ADRENOCORTINE AMP,11,Syrup,Vitamin,2933
3044,ADVANCE SOAP,25,Capsule,Vitamin,3044
3045,ADVANCE SOAP,25,Injection,Antibiotic,3045
3046,ADVANCE SOAP,25,Injection,Antibiotic,3046
3047,ADVANCE SOAP,25,Capsule,Painkiller,3047
3048,ADVANCE SOAP,25,Ointment,Painkiller,3048
3049,ADVANCE SOAP,25,Ointment,Antifungal,3049
3050,ADVANCE SOAP,25,Tablet,Antifungal,3050
3090,ADVANCE SOAP 100 GM,17,Ointment,Antifungal,3090
3091,ADVANCE SOAP 100 GM,17,Capsule,Vitamin,3091
3092,ADVANCE SOAP 100 GM,17,Syrup,Antiviral,3092
3093,ADVANCE SOAP 100 GM,17,Syrup,Painkiller,3093
3094,ADVANCE SOAP 100 GM,17,Tablet,Antifungal,3094
3095,ADVANCE SOAP 100 GM,17,Injection,Painkiller,3095
3096,ADVANCE SOAP 100 GM,72,Syrup,Vitamin,3096
3097,ADVANCE SOAP 100 GM,72,Injection,Antifungal,3097
3098,ADVANCE SOAP 100 GM,72,Injection,Vitamin,3098
3099,ADVANCE SOAP 100 GM,72,Syrup,Painkiller,3099
3100,ADVANCE SOAP 100 GM,72,Injection,Antifungal,3100
3101,ADVANCE SOAP 100 GM,72,Ointment,Vitamin,3101
3182,ADVOCHOL 10MG 28 TAB,14,Injection,Antiviral,3182
3183,ADVOCHOL 10MG 28 TAB,14,Tablet,Antifungal,3183
3235,ADWIFLAM 12.5 MG 5 SUPP,13,Injection,Antifungal,3235
3236,ADWIFLAM 12.5 MG 5 SUPP,13,Syrup,Antifungal,3236
3237,ADWIFLAM 12.5 MG 5 SUPP,13,Capsule,Vitamin,3237
3245,ADWIFLAM 12.5MG 5 SUPP,12,Capsule,Vitamin,3245
3246,ADWIFLAM 12.5MG 5 SUPP,12,Tablet,Vitamin,3246
3249,ADWIFLAM 25MG CHILDREN 5 SUPP.,12,Tablet,Antibiotic,3249
3250,ADWIFLAM 25MG CHILDREN SUPP.,12,Capsule,Antibiotic,3250
3251,ADWIFLAM 25MG CHILDREN SUPP.,12,Ointment,Antifungal,3251
3277,ADWIFLAM 50MG 20 CAP,39,Injection,Vitamin,3277
3278,ADWIFLAM 50MG 20 CAP,39,Injection,Antibiotic,3278
3284,ADWIFLAM 50MG E.R.20CAPS.,39,Injection,Antifungal,3284
3285,ADWIFLAM 50MG E.R.20CAPS.,39,Syrup,Vitamin,3285
3333,ADWIFLAM 75MG/3ML 6 AMP.,23,Capsule,Antiviral,3333
3334,ADWIFLAM 75MG/3ML 6 AMP.,23,Injection,Vitamin,3334
3335,ADWIFLAM 75MG/3ML 6 AMP.,23,Syrup,Antiviral,3335
3336,ADWIFLAM 75MG/3ML 6 AMP.,23,Capsule,Antifungal,3336
3337,ADWIFLAM 75MG/3ML 6 AMP.,23,Injection,Antiviral,3337
3343,ADWIFLAM 75MG/3ML 6 AMP.,79,Tablet,Painkiller,3343
3344,ADWIFLAM 75MG/3ML 6 AMP.,79,Syrup,Antiviral,3344
3345,ADWIFLAM 75MG/3ML 6 AMP.,79,Capsule,Antiviral,3345
3346,ADWIFLAM 75MG/3ML 6 AMP.,79,Ointment,Vitamin,3346
3347,ADWIFLAM 75MG/3ML 6 AMP.,79,Injection,Antiviral,3347
3376,AERIUS 5MG 20 F.C.TAB.,104,Tablet,Antifungal,3376
3378,AERIUS 5MG 20 TAB.,82,Injection,Antibiotic,3378
3498,AFROMED 30 CAPS.,26,Capsule,Antifungal,3498
3567,AGAR ORAL DROP,12,Tablet,Painkiller,3567
3568,AGAR ORAL DROP,12,Tablet,Antibiotic,3568
3569,AGAR ORAL DROP,12,Syrup,Antibiotic,3569
3570,AGAR ORAL DROP,12,Injection,Antiviral,3570
3757,AGERA ACNE CREAM 50 GM,20,Tablet,Painkiller,3757
3758,AGERA ACNE CREAM 50 GM,20,Ointment,Antifungal,3758
3759,AGERA ACNE CREAM 50 GM,20,Capsule,Antibiotic,3759
3760,AGERA ACNE CREAM 50 GM,20,Capsule,Antibiotic,3760
3761,AGERA ACNE CREAM 50 GM,20,Injection,Antifungal,3761
3806,AGERA CREAM,46,Syrup,Antiviral,3806
3807,AGERA CREAM,46,Tablet,Antiviral,3807
3808,AGERA CREAM,46,Injection,Vitamin,3808
3809,AGERA CREAM,46,Syrup,Antiviral,3809
3810,AGERA CREAM,46,Capsule,Painkiller,3810
3811,AGERA CREAM,46,Syrup,Painkiller,3811
3812,AGERA CREAM,46,Syrup,Vitamin,3812
3900,AGGREX 75MG 60 TAB,36,Capsule,Antibiotic,3900
3901,AGGREX 75MG 60 TAB,36,Ointment,Antibiotic,3901
3902,AGGREX 75MG 60 TAB,36,Injection,Antibiotic,3902
3903,AGGREX 75MG 60 TAB,36,Syrup,Antiviral,3903
3904,AGGREX 75MG 60 TAB,36,Tablet,Antibiotic,3904
3914,AGGREX 75MG 60TAB,34,Injection,Antiviral,3914
3915,AGGREX 75MG 60TAB,34,Capsule,Antifungal,3915
3929,AGIOLAX 12 GRANULES,91,Syrup,Painkiller,3929
3930,AGIOLAX 12 GRANULES,91,Syrup,Painkiller,3930
3972,AGNATIX SYRUP 60 ML,36,Tablet,Antifungal,3972
3973,AGNATIX SYRUP 60 ML,36,Capsule,Antibiotic,3973
3974,AGNATIX SYRUP 60 ML,36,Syrup,Antiviral,3974
3986,AGNUCASTON 20MG 30 F.C.TAB.,33,Ointment,Antibiotic,3986
4157,AIG ESOMEPRAZOLE 40MG 14CAP,13,Injection,Antifungal,4157
4158,AIG ESOMEPRAZOLE 40MG 14CAP,13,Injection,Painkiller,4158
4159,AIG ESOMEPRAZOLE 40MG 14CAP,13,Capsule,Antifungal,4159
4160,AIG ESOMEPRAZOLE 40MG 14CAP,13,Syrup,Vitamin,4160
4161,AIG ESOMEPRAZOLE 40MG 14CAP,13,Tablet,Antiviral,4161
4228,AIG ESOMEPRAZOLE 40MG 21CAP,14,Tablet,Antifungal,4228
4229,AIG ESOMEPRAZOLE 40MG 21CAP,14,Syrup,Painkiller,4229
4230,AIG ESOMEPRAZOLE 40MG 21CAP,14,Ointment,Antifungal,4230
4231,AIG ESOMEPRAZOLE 40MG 21CAP,14,Syrup,Painkiller,4231
4232,AIG ESOMEPRAZOLE 40MG 21CAP,14,Ointment,Painkiller,4232
4233,AIG ESOMEPRAZOLE 40MG 21CAP,14,Tablet,Antifungal,4233
4234,AIG ESOMEPRAZOLE 40MG 21CAP,14,Capsule,Antifungal,4234
4235,AIG ESOMEPRAZOLE 40MG 21CAP,14,Tablet,Antifungal,4235
4236,AIG ESOMEPRAZOLE 40MG 21CAP,14,Injection,Painkiller,4236
4237,AIG ESOMEPRAZOLE 40MG 21CAP,14,Capsule,Antibiotic,4237
4238,AIG ESOMEPRAZOLE 40MG 21CAP,14,Tablet,Antiviral,4238
4315,AIG ESOMEPRAZOLE 40MG 28CAP,12,Capsule,Painkiller,4315
4316,AIG ESOMEPRAZOLE 40MG 28CAP,12,Capsule,Antibiotic,4316
4317,AIG ESOMEPRAZOLE 40MG 28CAP,12,Injection,Antifungal,4317
4318,AIG ESOMEPRAZOLE 40MG 28CAP,12,Ointment,Antibiotic,4318
4319,AIG ESOMEPRAZOLE 40MG 28CAP,12,Injection,Painkiller,4319
4320,AIG ESOMEPRAZOLE 40MG 28CAP,12,Syrup,Antiviral,4320
4321,AIG ESOMEPRAZOLE 40MG 28CAP,12,Injection,Painkiller,4321
4322,AIG ESOMEPRAZOLE 40MG 28CAP,12,Capsule,Antifungal,4322
4587,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,87,Tablet,Antibiotic,4587
4588,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,87,Tablet,Painkiller,4588
4589,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,87,Syrup,Vitamin,4589
4590,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,32,Capsule,Antiviral,4590
4591,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,32,Tablet,Painkiller,4591
4592,AIG ESOMEPRAZOLE 40 MG 28 CAPS.,32,Capsule,Vitamin,4592
4780,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Painkiller,4780
4781,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Painkiller,4781
4782,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Injection,Painkiller,4782
4783,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Tablet,Painkiller,4783
4784,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Antifungal,4784
4785,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Injection,Painkiller,4785
4786,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Tablet,Vitamin,4786
4787,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Ointment,Antibiotic,4787
4788,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Tablet,Antifungal,4788
4789,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Painkiller,4789
4790,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Antifungal,4790
4791,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Syrup,Antiviral,4791
4792,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Ointment,Painkiller,4792
4793,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Tablet,Antiviral,4793
4794,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Injection,Antiviral,4794
4795,AIG ESOMEPRAZOLE 40MG 21 CAP,25,Injection,Antifungal,4795
4796,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Tablet,Vitamin,4796
4797,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Syrup,Antifungal,4797
4798,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Syrup,Vitamin,4798
4799,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Injection,Antifungal,4799
4800,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Capsule,Antibiotic,4800
4801,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Tablet,Antifungal,4801
4802,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Injection,Antibiotic,4802
4803,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Syrup,Painkiller,4803
4804,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Ointment,Antiviral,4804
4805,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Ointment,Antifungal,4805
4806,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Tablet,Antifungal,4806
4807,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Tablet,Antibiotic,4807
4808,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Capsule,Painkiller,4808
4809,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Ointment,Vitamin,4809
4810,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Tablet,Antibiotic,4810
4811,AIG ESOMEPRAZOLE 40MG 21 CAP,39,Injection,Painkiller,4811
4844,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Syrup,Vitamin,4844
4845,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Capsule,Painkiller,4845
4846,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Capsule,Antifungal,4846
4847,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Injection,Painkiller,4847
4848,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Tablet,Antifungal,4848
4849,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Syrup,Painkiller,4849
4850,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Injection,Painkiller,4850
4851,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Tablet,Antifungal,4851
4852,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Capsule,Antifungal,4852
4853,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Syrup,Painkiller,4853
4854,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Ointment,Painkiller,4854
4855,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Ointment,Antifungal,4855
4856,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Tablet,Vitamin,4856
4857,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Syrup,Vitamin,4857
4858,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Injection,Antiviral,4858
4859,AIG ESOMEPRAZOLE 40MG 21 CAP,13,Capsule,Vitamin,4859
4892,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Syrup,Antiviral,4892
4893,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Capsule,Antifungal,4893
4894,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Ointment,Antifungal,4894
4895,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Capsule,Antibiotic,4895
4896,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Injection,Antibiotic,4896
4897,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Tablet,Antibiotic,4897
4898,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Injection,Antibiotic,4898
4899,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Syrup,Vitamin,4899
4900,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Ointment,Antifungal,4900
4901,AIG ESOMEPRAZOLE 40MG 21 CAP,70,Capsule,Antiviral,4901
