ID,Drugname,Price,Stock,Form,Category
50,Venlafaxine,221,39,Capsule,Antifungal
51,Bupropion,93,48,Injection,Hypertension
52,Propranolol,228,40,Capsule,Allergy
53,Trazodone,123,44,Capsule,Allergy
54,Pregabalin,106,1,Syrup,Painkiller
55,Cyclobenzaprine,60,46,Injection,Antifungal
56,Meloxicam,269,18,Syrup,Cholesterol
57,Celecoxib,104,41,Tablet,Antifungal
58,Naproxen,119,34,Ointment,Allergy
59,Acetaminophen,295,23,Injection,Hypertension
60,Codeine,116,8,Ointment,Antifungal
61,Morphine,262,13,Ointment,Antifungal
62,Oxycodone,201,28,Ointment,Hypertension
63,Hydromorphone,263,48,Ointment,Cholesterol
64,Fentanyl,144,27,Injection,Cholesterol
65,Buprenorphine,220,8,Syrup,Painkiller
66,Vardenafil,213,37,Syrup,Painkiller
67,Tadalafil,224,33,Tablet,Allergy
68,Sildenafil,168,30,Syrup,Painkiller
69,Levofloxacin,59,44,Tablet,Allergy
70,Clarithromycin,165,33,Ointment,Painkiller
71,Erythromycin,92,26,Syrup,Painkiller
72,Vancomycin,63,25,Injection,Painkiller
73,Linezolid,98,8,Injection,Painkiller
74,Meropenem,154,30,Tablet,Diabetes
75,Imipenem,123,14,Capsule,Painkiller
76,Ceftriaxone,298,24,Ointment,Hypertension
77,Cefotaxime,58,35,Syrup,Allergy
78,Cefuroxime,72,22,Injection,Antifungal
79,Cefixime,109,14,Tablet,Diabetes
80,Cefepime,171,24,Injection,Hypertension
81,Amikacin,183,38,Syrup,Allergy
82,Gentamicin,280,23,Tablet,Antibiotic
83,Tobramycin,263,8,Syrup,Antifungal
84,Streptomycin,262,5,Capsule,Cholesterol
85,Rifampicin,274,6,Capsule,Antibiotic
86,Isoniazid,224,42,Capsule,Painkiller
87,Ethambutol,202,36,Tablet,Painkiller
88,Pyrazinamide,74,43,Injection,Painkiller
89,Itraconazole,247,14,Tablet,Allergy
90,Voriconazole,252,23,Capsule,Antifungal
91,Amphotericin B,92,11,Syrup,Hypertension
92,Fluconazole,68,39,Tablet,Painkiller
93,Terconazole,171,21,Tablet,Antibiotic
94,Clotrimazole,152,3,Syrup,Painkiller
95,Miconazole,232,15,Capsule,Painkiller
96,Hydroxyzine,281,43,Syrup,Cholesterol
97,Promethazine,256,39,Capsule,Diabetes
98,Meclizine,257,35,Syrup,Cholesterol
99,Dimenhydrinate,111,32,Tablet,Cholesterol
100,Betahistine,142,27,Ointment,Diabetes
101,Carbamazepine,150,39,Capsule,Antibiotic
102,Lamotrigine,153,39,Syrup,Painkiller
103,Valproate,201,40,Ointment,Painkiller
104,Phenytoin,59,19,Capsule,Hypertension
105,Phenobarbital,133,30,Syrup,Allergy
106,Levetiracetam,251,49,Injection,Painkiller
107,Topiramate,292,22,Injection,Diabetes
108,Zonisamide,278,3,Tablet,Painkiller
109,Gabitril,199,37,Ointment,Diabetes
110,Sabril,127,3,Capsule,Antifungal
111,Vimpat,240,34,Tablet,Antibiotic
112,Briviact,250,7,Tablet,Antibiotic
113,Perampanel,111,35,Tablet,Hypertension
114,Lacosamide,80,16,Syrup,Hypertension
115,Donepezil,98,13,Syrup,Painkiller
116,Memantine,84,21,Tablet,Cholesterol
117,Rivastigmine,63,20,Tablet,Cholesterol
118,Galantamine,135,41,Capsule,Allergy
119,Tacrine,59,18,Capsule,Antifungal
120,Carbidopa,120,28,Syrup,Diabetes
121,Levodopa,226,3,Syrup,Hypertension
122,Entacapone,53,29,Ointment,Antibiotic
123,Tolcapone,223,30,Injection,Cholesterol
124,Pramipexole,68,7,Capsule,Painkiller
125,Ropinirole,243,19,Tablet,Allergy
126,Rotigotine,133,5,Syrup,Cholesterol
127,Selegiline,71,26,Ointment,Cholesterol
128,Rasagiline,149,4,Tablet,Painkiller
129,Safinamide,161,37,Ointment,Allergy
130,Apomorphine,293,45,Injection,Diabetes
131,Bromocriptine,279,35,Tablet,Allergy
132,Cabergoline,106,14,Syrup,Diabetes
133,Quetiapine,241,38,Ointment,Hypertension
134,Olanzapine,79,41,Injection,Diabetes
135,Risperidone,54,37,Syrup,Diabetes
136,Clozapine,161,6,Tablet,Antifungal
137,Haloperidol,159,48,Tablet,Antifungal
138,Chlorpromazine,68,29,Tablet,Antibiotic
139,Thioridazine,144,43,Syrup,Painkiller
140,Fluphenazine,232,16,Capsule,Antibiotic
141,Trifluoperazine,63,19,Syrup,Diabetes
142,Perphenazine,123,36,Injection,Painkiller
143,Aripiprazole,250,43,Tablet,Painkiller
144,Paliperidone,157,24,Capsule,Diabetes
145,Lurasidone,152,22,Capsule,Cholesterol
146,Ziprasidone,166,31,Capsule,Antibiotic
147,Asenapine,125,41,Capsule,Antifungal
148,Iloperidone,278,29,Injection,Antibiotic
149,Carbamazepine,170,50,Tablet,Cholesterol
150,Oxcarbazepine,212,5,Tablet,Cholesterol
151,Gabapentin,197,21,Injection,Antibiotic
152,Pregabalin,83,7,Capsule,Diabetes
153,Aspirin,287,37,Ointment,Allergy
154,Clopidogrel,118,21,Injection,Diabetes
155,Ticagrelor,88,24,Tablet,Painkiller
156,Prasugrel,74,36,Ointment,Cholesterol
157,Dipyridamole,67,11,Tablet,Painkiller
158,Warfarin,150,43,Injection,Allergy
159,Apixaban,247,31,Ointment,Cholesterol
160,Rivaroxaban,194,36,Ointment,Painkiller
161,Edoxaban,288,9,Capsule,Cholesterol
162,Dabigatran,91,49,Ointment,Cholesterol
163,Enoxaparin,271,1,Capsule,Antifungal
164,Dalteparin,179,37,Ointment,Allergy
165,Fondaparinux,224,9,Capsule,Hypertension
166,Urokinase,282,23,Capsule,Antifungal
167,Streptokinase,127,22,Capsule,Antifungal
168,Tenecteplase,277,18,Syrup,Allergy
169,Alteplase,222,12,Ointment,Diabetes
170,Eptifibatide,83,18,Injection,Painkiller
171,Tirofiban,141,37,Tablet,Allergy
172,Abciximab,175,8,Ointment,Antibiotic
173,Methotrexate,53,14,Tablet,Allergy
174,Azathioprine,273,26,Ointment,Diabetes
175,Mycophenolate,138,14,Tablet,Cholesterol
176,Tacrolimus,113,13,Syrup,Allergy
177,Cyclosporine,148,9,Capsule,Cholesterol
178,Sirolimus,211,15,Injection,Painkiller
179,Everolimus,153,15,Injection,Allergy
180,Basiliximab,200,38,Capsule,Hypertension
181,Daclizumab,119,47,Injection,Cholesterol
182,Infliximab,119,6,Capsule,Antibiotic
183,Adalimumab,82,28,Injection,Hypertension
184,Golimumab,132,30,Tablet,Antibiotic
185,Certolizumab,251,44,Injection,Cholesterol
186,Etanercept,81,9,Syrup,Antibiotic
187,Tocilizumab,185,27,Ointment,Cholesterol
188,Sarilumab,270,45,Capsule,Hypertension
189,Anakinra,156,42,Injection,Cholesterol
190,Rilonacept,245,11,Capsule,Hypertension
191,Canakinumab,151,17,Ointment,Antifungal
192,Ustekinumab,145,39,Syrup,Allergy
193,Secukinumab,66,31,Ointment,Antifungal
194,Ixekizumab,229,29,Syrup,Allergy
195,Brodalumab,53,48,Ointment,Antibiotic
196,Guselkumab,145,36,Injection,Hypertension
197,Risankizumab,192,29,Tablet,Allergy
198,Tildrakizumab,145,13,Capsule,Allergy
199,Abatacept,203,35,Injection,Painkiller
200,Belatacept,54,35,Ointment,Allergy
